id,name,description,difficulty,image,emoji,created_at,total_shown,total_correct,category
77,French Guiana,dependent,0,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/40px-Flag_of_France.svg.png,,2025-09-07 15:57:35,0,0,country
78,French Polynesia,dependent,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Flag_of_French_Polynesia.svg/40px-Flag_of_French_Polynesia.svg.png,,2025-09-07 15:57:35,0,0,country
79,Gabon,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Flag_of_Gabon.svg/20px-Flag_of_Gabon.svg.png,,2025-09-07 15:57:35,0,0,country
80,The Gambia,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_The_Gambia.svg/40px-Flag_of_The_Gambia.svg.png,,2025-09-07 15:57:35,0,0,country
81,Georgia,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_Georgia.svg/40px-Flag_of_Georgia.svg.png,,2025-09-07 15:57:35,0,0,country
82,Germany,UN,0,https://upload.wikimedia.org/wikipedia/en/thumb/b/ba/Flag_of_Germany.svg/40px-Flag_of_Germany.svg.png,,2025-09-07 15:57:35,0,0,country
83,Ghana,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Ghana.svg/40px-Flag_of_Ghana.svg.png,,2025-09-07 15:57:35,0,0,country
84,Gibraltar,dependent,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Flag_of_Gibraltar.svg/40px-Flag_of_Gibraltar.svg.png,,2025-09-07 15:57:35,0,0,country
85,Greece,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_Greece.svg/40px-Flag_of_Greece.svg.png,,2025-09-07 15:57:35,0,0,country
86,Greenland,dependent,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Flag_of_Greenland.svg/40px-Flag_of_Greenland.svg.png,,2025-09-07 15:57:35,0,0,country
87,Grenada,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Flag_of_Grenada.svg/40px-Flag_of_Grenada.svg.png,,2025-09-07 15:57:35,0,0,country
